CPR,label,CT,UM,NC,CS,PC,CP,T,PB,AV,SRBP,ATPB,RE,TG,CH,CTS
39,0,0.46,0.06,8,0.38,8154.15,76.86,91591.96,734,0.02,0.93,1.65,0.44,1,64,1
34,1,0.83,0.54,10,0.17,19.07,79.91,62097.19,204,0.74,0.09,1.78,0.02,5,81,1
26,0,0.78,0.39,9,0.91,106.61,43.7,31900.11,3553,0.75,0.84,1.61,0.6,1,44,2
45,1,0.32,0.98,7,0.64,6641.15,19.48,77142.87,3680,0.41,0.44,2.61,0.87,4,22,2
10,0,0.31,0.75,4,0.07,5216.84,54.31,50290.93,1485,0.41,0.08,2.2,0.88,5,44,2
8,1,0.7,0.5,4,0.18,5482.45,88.44,80710.69,2982,0.72,0.04,3.94,0.84,4,23,0
22,0,0.34,0.6,10,0.59,2847.17,14.81,87276.55,4909,0.39,0.26,0.02,0.73,2,65,0
16,0,0.92,0.89,9,0.74,2102.93,58.59,21339.26,2772,0.99,0.51,0.57,0.94,4,95,2
26,0,0.28,0.89,8,0.65,432.06,62.25,98340.19,4037,0.85,0.99,0.62,0.69,5,3,2
27,0,0.47,0.89,6,0.86,3442.01,65.66,49810.33,4320,0.79,0.16,0.69,0.99,2,25,0
44,1,0.27,0.53,9,0.4,7413.38,26.54,41023,2266,0.36,0.95,4.61,0.31,3,52,1
0,0,0.74,0.77,4,0.69,4605.95,86.93,61011.38,1325,0.16,0.27,2.67,0.12,1,99,1
10,1,0.25,0.11,5,0.38,524.32,60.52,19510.4,2360,0.75,0.7,4.81,0.24,2,78,1
9,1,0.72,0.47,7,0.27,5857.27,53.89,56143.87,3375,0.83,0.12,0.04,0.67,1,84,0
40,0,0.21,0.94,6,0.33,866.15,9.46,93133.62,1007,0.47,0.19,2.65,0.97,3,8,2
9,1,0.17,0.62,10,0.93,4121.29,92.51,45523.51,3187,0.09,0.08,0.85,0.27,4,75,0
16,1,0.38,0.12,9,0.02,1139.04,16.27,49514.59,3585,0.75,0.74,3.08,0.49,2,39,0
9,0,0.27,0.41,10,0.07,860.76,81.54,14534.68,2074,0.67,0.83,3.58,0.26,1,54,1
14,1,0.41,0.02,5,0.98,1132.68,45.17,89571.21,3392,0.32,0.74,0.46,0.23,1,86,2
30,0,0.69,0.12,9,0.97,6241.31,36.94,31055.4,3152,0.25,0.55,4.1,0.72,1,29,2
45,0,0.91,0.75,9,0.62,1726.24,71.81,67323.82,4199,0.15,0.53,1.25,0.63,4,20,1
15,1,0.33,0.49,5,0.43,9133.55,88.18,10982.78,4084,0.98,0.29,4.8,0.69,3,41,0
38,0,0.07,0.95,8,0.98,8331.24,6.34,96383.21,3860,0.08,0.15,0.43,0.94,3,36,0
3,1,0.52,0.61,8,0.25,3102.51,33.08,26891.71,4018,0.24,0.18,1.69,0.73,2,54,1
45,0,0.92,0.02,7,0.25,8516.28,57.47,56079.71,246,0.15,0.37,0.41,0.74,1,58,2
0,1,0.16,0.86,5,0.46,6227.51,49.71,98243.81,892,0.65,0.08,2.19,0.77,3,62,1
34,0,0.44,0.35,5,0.37,6458.77,8.79,5443.01,1100,0.11,0.88,1.82,0.99,2,99,1
